Perfil,Categoria,dif_pt_psdb,DEM,PCdoB,PDT,PEN,PHS,PMDB,PMN,PP,PPS,PR,PRB,PROS,PRP,PRTB,PSB,PSC,PSD,PSDB,PSDC,PSL,PSOL,PT,PTB,PTC,PTdoB,PTN,PV,S.PART.,SD,Total de deputados seguindo
@ParlaTube,mídia,-1,4,2,3,1,,3,,2,2,2,,1,,,10,,2,13,,1,1,14,,1,,1,,,3,66
@FelipePatury,jornalista,3,3,4,1,,,13,,3,2,4,1,2,,,2,,5,11,,,,8,3,,,,,,4,66
@Bob_Fernandes,jornalista,-17,2,3,1,,,5,,1,,1,1,2,,1,2,,1,9,,,4,26,3,,,1,,,3,66
@planejamentobr,"Instituição, partido, empresa",-26,,1,,,,8,,4,1,2,,2,,1,5,,4,1,1,,1,27,4,,,2,,,1,65
@RadioSenado,"Instituição, partido, empresa",-15,,1,2,,1,9,,6,3,3,,1,,,4,,5,4,1,,,19,4,,,,,,2,65
@SergioCabralRJ,político,-11,2,,2,,,13,,5,,4,,2,,1,1,,6,4,1,,1,15,5,,1,,,1,1,65
@marcus_pestana,deputado,30,6,2,,,,6,,2,3,1,,2,,,1,,2,33,,,,3,2,,1,,,,1,65
@cbonlinedf,mídia,-5,2,1,3,,1,9,,4,2,2,,1,,,2,,5,11,,,,16,3,,,1,,,2,65
@alessandromolon,deputado,-25,,1,1,,,7,,1,2,1,1,1,,1,4,,4,4,,1,4,29,1,,,,,,2,65
@DepRodrigoMaia,deputado,7,13,1,2,,,6,,4,1,3,,3,,,2,,9,10,,,,3,3,,,,,,4,64
@FlavioDino,político,-11,1,8,4,,,5,,3,2,2,,2,1,1,2,,4,5,,,2,16,3,,,,,,3,64
@DaniloGentili,personalidade,6,3,,2,,1,4,,9,1,,3,3,,,3,2,6,12,,,1,6,3,,,,,,5,64
@denirothenburg,jornalista,3,4,1,1,,1,9,,5,1,5,,3,,,2,,9,10,,,1,7,2,,,,,,3,64
@carosamigos,mídia,-24,,6,1,,,6,,1,,,,,,1,6,,2,3,1,1,4,27,3,,1,,,,1,64
@AecioBlog,político,23,5,,1,,,7,,7,2,2,,1,,,1,,8,24,,,,1,3,,1,,,,1,64
@Delcidio,político,-14,3,1,3,,,9,1,2,,1,,1,,1,2,,5,8,,,,22,2,,,,1,,2,64
@zedutra13,político,-28,,1,3,,,7,,2,,3,1,1,,1,2,1,2,3,,1,,31,2,,,,,,2,63
@VICENTINHOPT,deputado,-37,,1,3,,,5,,2,,1,1,1,,1,2,,2,,,1,1,37,1,,,,,,4,63
@petrobras,"Instituição, partido, empresa",-29,1,3,1,,,5,,3,2,1,,1,,1,1,,4,1,1,,2,30,4,,,1,,,1,63
@requiaopmdb,político,-15,2,3,4,,,13,,3,1,3,,,,1,3,,3,3,,,1,18,2,,,,1,,2,63
@efraimfilho,deputado,4,14,,3,,,6,,5,,2,,2,1,,2,,8,8,,,,4,2,,,,1,,5,63
@AdrianaVNews,jornalista,18,5,2,1,,,7,,4,1,3,,1,,,3,,4,21,,,1,3,2,,1,,,,4,63
@correiodobrasil,mídia,-17,5,3,5,,,6,,2,,1,,1,,1,3,,5,3,1,,1,20,4,,,,,,2,63
@cesarmaia,político,6,13,1,1,,,6,1,2,,4,,2,,1,1,,9,10,,,,4,3,,1,1,1,,2,63
@radiobandnewsfm,mídia,-2,4,,2,,,10,,3,1,1,1,1,,1,2,1,3,9,1,,,11,4,1,,2,,1,3,62
@helenachagas,jornalista,-10,3,5,1,,,8,,3,,1,1,1,,1,2,,4,8,,,1,18,3,,,,,,2,62
@ibgecomunica,"Instituição, partido, empresa",-16,1,4,,,,7,,4,2,2,,1,,,,,5,5,1,,1,21,3,,,1,1,,3,62
@RachelSherazade,jornalista,15,4,1,1,,1,7,,4,3,2,3,,,,1,2,4,17,,,,2,2,,,,1,,6,61
@zerohora,mídia,-7,3,1,3,,,8,,8,1,2,1,3,,,3,,2,7,,,1,14,1,,,,,,3,61
@Paulo_Bernardo,político,-15,,2,1,,,7,,7,2,2,,2,,1,3,,3,4,1,1,,19,4,,,,,,2,61
@onyxlorenzoni,deputado,9,12,1,3,,,9,,4,2,2,,1,,,1,1,3,12,,,,3,3,,,,1,,3,61
@blogdojefferson,político,11,3,,2,,,9,1,4,3,2,,2,,,2,,5,13,,1,,2,6,,1,,,,5,61
@vanessasenadora,político,-11,2,7,3,,,9,,4,,2,,2,,,4,,5,4,,,1,15,,,1,,,,1,60
@oab_brasil,"Instituição, partido, empresa",-9,2,2,3,,1,7,,3,1,,1,2,,,2,,3,8,1,,,17,2,,,,,,5,60
@aleluiacosta,deputado,8,13,1,3,,,2,,5,1,3,1,,,,1,,5,12,,,1,4,2,,,2,1,,3,60
@augustosnunes,jornalista,16,6,1,4,,,9,,4,1,1,,1,,,1,,5,19,,,,3,3,,,,,,2,60
@VIOMUNDO,mídia,-32,,6,,,,3,,,,1,,,,1,2,,2,2,,,3,34,4,,,,,,1,59
@pimentelminas,político,-18,2,1,1,,,4,,5,,1,,2,,1,2,1,3,6,,,,24,3,,1,,1,,1,59
@MPF_PGR,"Instituição, partido, empresa",-12,2,2,1,,,6,,5,1,,1,3,1,,2,,6,6,1,,,18,2,,,,,,2,59
@inst_lula,"Instituição, partido, empresa",-40,,4,1,,,5,,,,,,,,,3,,1,2,,,,42,,,,,,,1,59
@carlossampaio_,deputado,30,2,,,,,9,,3,1,2,,1,,,2,,3,31,,,,1,3,,,,,,1,59
@agenciapf,"Instituição, partido, empresa",-8,3,1,2,,,7,,3,1,1,1,2,,,3,1,7,6,1,,1,14,4,,,,,,1,59
@BomDiaBrasil,mídia,2,2,,1,,,9,,7,2,2,1,2,,,3,,3,9,1,1,,7,4,,,1,,,4,59
@anaamelialemos,político,-1,2,3,2,,,5,,18,1,3,,,,,3,,3,6,,,,7,2,,,,,,4,59
@eikebatista,personalidade,-2,4,,3,,,8,1,3,3,3,3,3,,1,2,,7,5,,,,7,,,1,,1,,3,58
@CulturaGovBr,"Instituição, partido, empresa",-27,,3,2,,,5,,2,,2,,,,1,2,,2,2,1,,2,29,2,,,1,,,2,58
@BetoRicha,político,15,3,,2,,,7,,6,2,2,1,,,,3,,2,20,,,,5,1,,1,,1,,2,58
@rafinhabastos,personalidade,-1,3,2,2,,,3,1,9,1,2,4,2,,1,3,,4,6,,,1,7,2,,,,,,4,57
